states
Connecticut
West Virginia
North Dakota
Iowa
Pennsylvania
Utah
California
South Carolina
South Dakota
Virginia
Illinois
Alaska
New Jersey
Georgia
Minnesota
Nevada
Oklahoma
Wyoming
Louisiana
New Mexico
Missouri
Nebraska
Maryland
Michigan
Tennessee
Kentucky
North Carolina
Ohio
Massachusetts
Maine
Alabama
Montana
New Hampshire
Arkansas
Colorado
Rhode Island
Vermont
Wisconsin
Oregon
Indiana
Arizona
Idaho
Washington
Delaware
Hawaii
Mississippi
New York
Kansas
